datetime,BTCUSD,ETHUSD,SOLUSD,XRPUSD
2026-02-19 11:00:00+00:00,0.58952886,0.63004357,0.64011806,0.5827388
2026-02-19 12:00:00+00:00,0.6555225,0.67557806,0.66405004,0.5153737
2026-02-19 13:00:00+00:00,0.60210156,0.5977272,0.6216722,0.5827077
2026-02-19 14:00:00+00:00,0.55405384,0.5495612,0.52782124,0.5756831
2026-02-19 15:00:00+00:00,0.5635813,0.5871165,0.54910266,0.5309315
2026-02-19 16:00:00+00:00,0.5083333,0.64407355,0.5370848,0.5616838
2026-02-19 17:00:00+00:00,0.61851686,0.5696316,0.6152786,0.5472688
2026-02-19 18:00:00+00:00,0.6639657,0.56945086,0.56709796,0.50462633
2026-02-19 19:00:00+00:00,0.6262894,0.56178874,0.5515175,0.5421583
2026-02-19 20:00:00+00:00,0.5880917,0.55475926,0.5854609,0.5231473
2026-02-19 21:00:00+00:00,0.48292178,0.48608842,0.54118246,0.45741507
2026-02-19 22:00:00+00:00,0.5622946,0.5996092,0.5139474,0.48688287
2026-02-19 23:00:00+00:00,0.5734755,0.5234141,0.5621802,0.5872908
2026-02-20 00:00:00+00:00,0.54273903,0.5645253,0.6052296,0.5100617
2026-02-20 01:00:00+00:00,0.53999156,0.55672437,0.5358883,0.52812415
2026-02-20 02:00:00+00:00,0.50582993,0.53046286,0.51815856,0.5509721
2026-02-20 03:00:00+00:00,0.44298404,0.4997136,0.58721846,0.53591543
2026-02-20 04:00:00+00:00,0.4746447,0.50488865,0.48111987,0.54188746
2026-02-20 05:00:00+00:00,0.49144647,0.5176958,0.5030027,0.53981566
2026-02-20 06:00:00+00:00,0.46349445,0.44299957,0.5035294,0.46648327
2026-02-20 07:00:00+00:00,0.42267776,0.39354897,0.41528273,0.49981403
2026-02-20 08:00:00+00:00,0.46152315,0.462135,0.41621262,0.45928675
2026-02-20 09:00:00+00:00,0.49468845,0.5009804,0.47039422,0.48939392
2026-02-20 10:00:00+00:00,0.4633947,0.3748921,0.35308847,0.39786592
2026-02-20 11:00:00+00:00,0.58923066,0.5535508,0.56466746,0.58278245
2026-02-20 12:00:00+00:00,0.5237081,0.47745606,0.4720993,0.51563776
2026-02-20 13:00:00+00:00,0.4149728,0.4208659,0.4153651,0.489051
2026-02-20 14:00:00+00:00,0.48222864,0.47702864,0.42109686,0.48449704
2026-02-20 15:00:00+00:00,0.48736617,0.43224522,0.3693705,0.5540156
2026-02-20 16:00:00+00:00,0.41724065,0.4396357,0.28634712,0.3498958
2026-02-20 17:00:00+00:00,0.4460281,0.51662725,0.33534238,0.39880556
2026-02-20 18:00:00+00:00,0.50467926,0.49058506,0.3985227,0.485301
2026-02-20 19:00:00+00:00,0.4768098,0.5262186,0.3596302,0.38163912
2026-02-20 20:00:00+00:00,0.5846893,0.618104,0.4558383,0.5021028
2026-02-20 21:00:00+00:00,0.5281045,0.4590179,0.4320833,0.42879504
2026-02-20 22:00:00+00:00,0.48820615,0.52878016,0.41300163,0.44977266
2026-02-20 23:00:00+00:00,0.32798055,0.47425508,0.43312606,0.3902842
2026-02-21 00:00:00+00:00,0.3912537,0.47270843,0.39693573,0.3472348
2026-02-21 01:00:00+00:00,0.55171674,0.5454651,0.57144946,0.5204113
2026-02-21 02:00:00+00:00,0.35112,0.4413963,0.30177444,0.30100104
2026-02-21 03:00:00+00:00,0.44166926,0.44002616,0.34775454,0.3671969
2026-02-21 04:00:00+00:00,0.49609116,0.48927534,0.46096966,0.5214155
2026-02-21 05:00:00+00:00,0.41725,0.49511275,0.3835258,0.3970395
2026-02-21 06:00:00+00:00,0.50989884,0.59863377,0.43348566,0.4415014
